TÊN ĐỊA DANH;Mã địa danh
Huyện Bù Gia Mập;70.691
Huyện Lộc Ninh;70.692
Huyện Bù Đốp;70.693
Huyện Hớn Quản;70.694
Huyện Đồng Phù;70.695
Huyện Bù Đăng;70.696
Huyện Chơn Thành;70.697
Huyện Phú Riềng;70.698
Tỉnh Tây Ninh;72
Thành phố Tây Ninh;72.703
Huyện Tân Biên;72.705
Huyện Tân Châu;72.706
Huyện Dương Minh Châu;72.707
Huyện Châu Thành;72.708
Huyện Hòa Thành;72.709
Huyện Gò Dầu;72.710
Huyện Bến Cầu;72.711
Huyện Trảng Bàng;72.712
Tỉnh Bình Dương;74
Thành phố Thủ Dầu Một;74.718
Huyện Bàu Bàng;74.719
Huyện Dầu Tiếng;74.720
Thị xã Bến Cát;74.721
Huyện Phú Giáo;74.722
Thị xã Tân Uyên;74.723
Thị xã Dĩ An;74.724
Thị xã Thuận An;74.725
Huyện Bắc Tân Uyên;74.726
Tỉnh Đồng Nai;75
Thành phố Biên Hòa;75.731
Thị xã Long Khánh;75.732
Huyện Tân Phú;75.734
Huyện Vĩnh Cửu;75.735
Huyện Định Quán;75.736
Huyện Trảng Bom;75.737
Huyện Thống Nhất;75.738
Huyện Cẩm Mỹ;75.739
Huyện Long Thành;75.740
Huyện Xuân Lộc;75.741
Huyện Nhơn Trạch;75.742
Tỉnh Bà Rịa - Vũng Tàu;77
Thành phố Vũng Tàu;77.747
Thành phố Bà Rịa;77.748
Huyện Châu Đức;77.750
Huyện Xuyên Mộc;77.751
Huyện Long Điền;77.752
Huyện Đất Đỏ;77.753
Huyện Tân Thành;77.754
Huyện Côn Đảo;77.755
Thành phố Hồ Chí Minh;79
Quận 1;79.760
Quận 12;79.761
Quận Thủ Đức;79.762
Quận 9;79.763
Quận Gò Vấp;79.764
Quận Bình Thạnh;79.765
Quận Tân Bình;79.766
Quận Tân Phú;79.767
Quận Phú Nhuận;79.768
Quận 2;79.769
Quận 3;79.770
Quận 10;79.771
Quận 11;79.772
Quận 4;79.773
Quận 5;79.774
Quận 6;79.775
Quận 8;79.776
Quận Bình Tân;79.777
Quận 7;79.778
Huyện Củ Chi;79.783
Huyện Hóc Môn;79.784
Huyện Bình Chánh;79.785
Huyện Nhà Bè;79.786
Huyện Cần Giờ;79.787
Tỉnh Long An;80
Thành phố Tân An;80.794
Thị xã Kiến Tường;80.795
Huyện Tân Hưng;80.796
Huyện Vĩnh Hưng;80.797
Huyện Mộc Hóa;80.798
Huyện Tân Thạnh;80.799
Huyện Thạnh Hóa;80.800
Huyện Đức Huệ;80.801
Huyện Đức Hòa;80.802
Huyện Bến Lức;80.803
Huyện Thủ Thừa;80.804
Huyện Tân Trụ;80.805
Huyện Cần Đước;80.806
Huyện Cần Giuộc;80.807
Huyện Châu Thành;80.808
Tỉnh Tiền Giang;82
Thành phố Mỹ Tho;82.815
Thị xã Gò Công;82.816
Thị xã Cai Lậy;82.817
Huyện Tân Phước;82.818
Huyện Cái Bè;82.819
Huyện Cai Lậy;82.820
Huyện Châu Thành;82.821
Huyện Chợ Gạo;82.822
Huyện Gò Công Tây;82.823
Huyện Gò Công Đông;82.824
Huyện Tân Phú Đông;82.825
Tỉnh Bến Tre;83
Thành phố Bến Tre;83.829
Huyện Châu Thành;83.831
Huyện Chợ Lách;83.832
Huyện Mỏ Cày Nam;83.833
Huyện Giồng Trôm;83.834
Huyện Bình Đại;83.835
Huyện Ba Tri;83.836
Huyện Thạnh Phú;83.837
Huyện Mỏ Cày Bắc;83.838
Tỉnh Trà Vinh;84
Thành phố Trà Vinh;84.842
Huyện Càng Long;84.844
Huyện Cầu Kè;84.845
Huyện Tiểu Cần;84.846
Huyện Châu Thành;84.847
Huyện Cầu Ngang;84.848
Huyện Trà Cú;84.849
Huyện Duyên Hải;84.850
Tỉnh Vĩnh Long;86
Thành phố Vĩnh Long;86.855
Huyện Long Hồ;86.857
Huyện Mang Thít;86.858
Huyện Vũng Liêm;86.859
Huyện Tam Bình;86.860
Thị xã Bình Minh;86.861
Huyện Trà Ôn;86.862
Huyện Bình Tân;86.863
Tỉnh Đồng Tháp;87
Thành phố Cao Lãnh;87.866
Thành phố Sa Đéc;87.867
Thị xã Hồng Ngự;87.868
Huyện Tân Hồng;87.869
Huyện Hồng Ngự;87.870
Huyện Tam Nông;87.871
Huyện Tháp Mười;87.872
Huyện Cao Lãnh;87.873
Huyện Thanh Bình;87.874
Huyện Lấp Vò;87.875
Huyện Lai Vung;87.876
Huyện Châu Thành;87.877
Tỉnh An Giang;89
Thành phố Long Xuyên;89.883
Thành phố Châu Đốc;89.884
Huyện An Phú;89.886
Thị xã Tân Châu;89.887
Huyện Phú Tân;89.888
Huyện Châu Phú;89.889
Huyện Tịnh Biên;89.890
Huyện Tri Tôn;89.891
Huyện Châu Thành;89.892
Huyện Chợ Mới;89.893
Huyện Thoại Sơn;89.894
Tỉnh Kiên Giang;91
Thành phố Rạch Giá;91.899
Thị xã Hà Tiên;91.900
Huyện Kiên Lương;91.902
Huyện Hòn Đất;91.903
Huyện Tân Hiệp;91.904
Huyện Châu Thành;91.905
Huyện Giồng Riềng;91.906
Huyện Gò Quao;91.907
Huyện An Biên;91.908
Huyện An Minh;91.909
Huyện Vĩnh Thuận;91.910
Huyện Phú Quốc;91.911
Huyện Kiên Hải;91.912
Huyện U Minh Thượng;91.913
Huyện Giang Thành;91.914
Thành phố Cần Thơ;92
Quận Ninh Kiều;92.916
Quận Ô Môn;92.917
Quận Bình Thuỷ;92.918
Quận Cái Răng;92.919
Quận Thốt Nốt;92.923
Huyện Vĩnh Thạnh;92.924
Huyện Cờ Đỏ;92.925
Huyện Phong Điền;92.926
Huyện Thới Lai;92.927
Tỉnh Hậu Giang;93
Thành phố Vị Thanh;93.930
Thị xã Ngã Bảy;93.931
Huyện Châu Thành A;93.932
Huyện Châu Thành;93.933
Huyện Phụng Hiệp;93.934
Huyện Vị Thuỷ;93.935
Huyện Long Mỹ;93.936
Thị xã Long Mỹ;93.937
Tỉnh Sóc Trăng;94
Thành phố Sóc Trăng;94.941
Huyện Châu Thành;94.942
Huyện Kế Sách;94.943
Huyện Mỹ Tú;94.944
Huyện Cù Lao Dung;94.945
Huyện Long Phú;94.946
Huyện Mỹ Xuyên;94.947
Thị xã Ngã Năm;94.948
Huyện Thạnh Trị;94.949
Thị xã Vĩnh Châu;94.950
Huyện Trần Đề;94.951
Tỉnh Bạc Liêu;95
Thành phố Bạc Liêu;95.954
Huyện Hồng Dân;95.956
Huyện Phước Long;95.957
Huyện Vĩnh Lợi;95.958
Huyện Giá Rai;95.959
Huyện Đông Hải;95.960
Huyện Hoà Bình;95.961
Tỉnh Cà Mau;96
Thành phố Cà Mau;96.964
Huyện U Minh;96.966
Huyện Thới Bình;96.967
Huyện Trần Văn Thời;96.968
Huyện Cái Nước;96.969
Huyện Đầm Dơi;96.970
Huyện Năm Căn;96.971
Huyện Phú Tân;96.972
Huyện Ngọc Hiển;96.973
